,Year,STD Cases,Population,STD Cases Mean,Population Percent Change,STD Cases Percent Change,Rate per 100k
157,2001,6212.0,573822.0,7376.105263157895,0.38153316504589974,4.438466711499656,1082.5656736758087
158,2002,6032.0,570898.0,7376.105263157895,-0.5095656841320184,-2.8976175144880822,1056.5810354914538
159,2003,5724.0,564353.0,7376.105263157895,-1.1464394690470114,-5.106100795755964,1014.2588061018547
160,2004,6130.0,553523.0,7376.105263157895,-1.9190116824044479,7.092941998602376,1107.451722873304
161,2005,5938.0,550521.0,7376.105263157895,-0.5423442205653606,-3.132137030995108,1078.6146214222526
162,2006,5371.0,581530.0,7376.105263157895,5.632664330697645,-9.548669585719093,923.5980946812718
163,2007,8580.0,588292.0,7376.105263157895,1.162794696748226,59.74678830757774,1458.459404513405
164,2008,9726.0,591833.0,7376.105263157895,0.601911975685554,13.35664335664335,1643.368990914667
165,2009,9273.0,599657.0,7376.105263157895,1.321994549138017,-4.657618753855641,1546.3840161959254
166,2010,7827.0,601723.0,7376.105263157895,0.3445302898156699,-15.593659010029114,1300.7646375491713
167,2011,9319.0,617996.0,7376.105263157895,2.70440052981189,19.062220518717265,1507.9385627091438
168,2012,9375.0,632323.0,7376.105263157895,2.3182997948206774,0.6009228457989124,1482.6283402628087
169,2013,9060.0,646449.0,7376.105263157895,2.233984846352266,-3.3599999999999963,1401.5026707443278
170,2014,7292.0,646449.0,7376.105263157895,0.0,-19.51434878587196,1128.0085513319689
171,1996,44318.0,14853360.0,73917.42105263157,2197.6847361508794,507.7619308831596,298.3702004125666
172,1997,46161.0,15186304.0,73917.42105263157,2.241539961328609,4.158581163409902,303.96467764638453
173,1998,44323.0,15486559.0,73917.42105263157,1.977143352325883,-3.981716167327398,286.2030228923029
174,1999,54547.0,15759421.0,73917.42105263157,1.7619278756501044,23.06703066128195,346.1231221629272
175,2000,56584.0,16051398.0,73917.42105263157,1.8527140051655344,3.7343941921645474,352.51758133466006
176,2001,59640.0,16373330.0,73917.42105263157,2.0056321573983737,5.400820019793584,364.2508884875587
177,2002,64023.0,16713149.0,73917.42105263157,2.075442197769184,7.349094567404424,383.0696417533285
178,2003,62014.0,17019068.0,73917.42105263157,1.8304090988478627,-3.137934804679565,364.3795300659237
179,2004,61862.0,17397161.0,73917.42105263157,2.2215846367145353,-0.24510594381913497,355.5867534938603
180,2005,64321.0,17789864.0,73917.42105263157,2.2572820933254523,3.9749765607319576,361.55981855735376
181,2006,73650.0,18089888.0,73917.42105263157,1.6864884408335001,14.50381679389312,407.13353228057576
182,2007,81815.0,18251243.0,73917.42105263157,0.8919624046318075,11.086218601493547,448.2708383204366
183,2008,95387.0,18328340.0,73917.42105263157,0.42242054417882535,16.588645113976664,520.4344746987452
184,2009,94850.0,18537969.0,73917.42105263157,1.1437424229362891,-0.5629697967228231,511.652597973381
185,2010,96091.0,18801310.0,73917.42105263157,1.4205493600728314,1.3083816552451166,511.08672746739455
186,2011,96979.0,19057542.0,73917.42105263157,1.362841206277654,0.9241240074512769,508.87464920712233
187,2012,98475.0,19317568.0,73917.42105263157,1.3644256956117484,1.5426020066199975,509.76913864105467
188,2013,102513.0,19552860.0,73917.42105263157,1.2180208191838737,4.100533130236106,524.2864726694714
189,2014,106878.0,19552860.0,73917.42105263157,0.0,4.25799654677943,546.6105725709692
190,1996,34050.0,7501069.0,55174.26315789474,-61.63697280090994,-68.14124515803066,453.93529908870323
191,1997,35109.0,7685099.0,55174.26315789474,2.4533836443845436,3.1101321585903063,456.8451232703704
192,1998,46249.0,7863536.0,55174.26315789474,2.3218568817395813,31.72975590304481,588.1450787533751
193,1999,52042.0,8045965.0,55174.26315789474,2.319935967737674,12.525676230837423,646.8086798786721
194,2000,50026.0,8234373.0,55174.26315789474,2.3416457814569247,-3.873794243111328,607.5265232701992
195,2001,53174.0,8405677.0,55174.26315789474,2.0803526874480838,6.2927277815535865,632.5962798713298
196,2002,52820.0,8560310.0,55174.26315789474,1.8396257672047112,-0.6657388949486642,617.0337289186957
197,2003,53957.0,8684715.0,55174.26315789474,1.4532768089006165,2.1525937145020935,621.286939179927
198,2004,50612.0,8829383.0,55174.26315789474,1.6657771728836313,-6.1993809885649735,573.222387113573
199,2005,50067.0,9072576.0,55174.26315789474,2.7543600724988293,-1.0768197265470625,551.8498825471399
200,2006,59222.0,9363941.0,55174.26315789474,3.2114914220613855,18.28549743343919,632.4473851341012
201,2007,61428.0,9544750.0,55174.26315789474,1.9309070828190888,3.7249670730471696,643.5789308258467
202,2008,59815.0,9685744.0,55174.26315789474,1.4771890306189306,-2.6258383798919094,617.5571024796856
203,2009,54468.0,9829211.0,55174.26315789474,1.4812181697141602,-8.93922929031179,554.1441729147945
204,2010,61794.0,9687653.0,55174.26315789474,-1.4401766326920806,13.450099140779903,637.8634742594518
205,2011,71509.0,9815210.0,55174.26315789474,1.31669662404299,15.721591092986365,728.5529295858163
206,2012,68681.0,9919945.0,55174.26315789474,1.0670683561533556,-3.954746954928745,692.3526289712291
207,2013,66339.0,9992167.0,55174.26315789474,0.728048391397329,-3.4099678222506924,663.9100407349076
208,2014,66949.0,9992167.0,55174.26315789474,0.0,0.9195194380379634,670.0148226105509
209,1996,2344.0,1203755.0,5624.0,-87.9530135955494,-96.49882746568284,194.72400945375097
210,1997,2340.0,1211640.0,5624.0,0.6550336239517174,-0.17064846416382506,193.12667128850154
211,1998,3114.0,1215233.0,5624.0,0.2965402264698991,33.07692307692307,256.2471558952069
212,1999,3631.0,1210300.0,5624.0,-0.40593038536642645,16.602440590879898,300.00826241427745
213,2000,4032.0,1212671.0,5624.0,0.19590184251838672,11.043789589644737,332.48919121509465
214,2001,4647.0,1227025.0,5624.0,1.183668117733494,15.252976190476186,378.72088995741734
215,2002,5272.0,1244898.0,5624.0,1.4566125384568362,13.44953733591565,423.4885107052947
216,2003,6757.0,1257613.0,5624.0,1.0213688189715242,28.167678300455236,537.2877029738083
217,2004,6508.0,1262840.0,5624.0,0.41562865523814274,-3.6850673375758425,515.3463621678122
218,2005,6524.0,1275194.0,5624.0,0.9782711982515568,0.24585125998770607,511.6084297761753
